,date,dx,dy,distance,x,y,lon,lat
0,2022-04-16,7949,-8481,14479.438812387709,-1875764.9424783103,1889251.7025752815,-44.79476023598519,-65.88064838742508
1,2022-04-15,10647,-16524,9595.702097126314,-1865117.9424783103,1872727.7025752815,-44.88335352080132,-66.05740388520319
2,2022-04-14,7782,-26610,20978.196775278415,-1857335.9424783103,1846117.7025752815,-45.17355579297631,-66.28085631875601
3,2022-04-13,11135,-10886,36544.30035840301,-1846200.9424783103,1835231.7025752815,-45.170718671664844,-66.42392620106861
4,2022-04-12,5728,7722,26183.320779764766,-1840472.9424783103,1842953.7025752815,-44.96141172996046,-66.41107388552089
5,2022-04-11,-3633,4706,26476.2273702689,-1844105.9424783103,1847659.7025752815,-44.94484606780525,-66.3568946513955
6,2022-04-10,7546,-3872,32412.17439641387,-1836559.9424783103,1843787.7025752815,-44.88747812532026,-66.43103429842509
7,2022-04-09,12496,1500,24773.778499998913,-1824063.9424783103,1845287.7025752815,-44.6686013127335,-66.50210547731103
8,2022-04-08,10062,-861,22278.63360874625,-1814001.9424783103,1844426.7025752815,-44.52351943162009,-66.57262296631458
9,2022-04-07,16525,-14676,23221.801012219395,-1797476.9424783103,1829750.7025752815,-44.490216322763715,-66.77510011660509
10,2022-04-06,18914,-20521,26424.17962498112,-1778562.9424783103,1809229.7025752815,-44.51027461456117,-67.03112749717315
11,2022-04-05,11003,-19945,22847.68840806654,-1767559.9424783103,1789284.7025752815,-44.650048930926914,-67.23232859561996
12,2022-04-04,1082,-10505,27193.3832593952,-1766477.9424783103,1778779.7025752815,-44.80118903168906,-67.30777513074518
13,2022-04-03,-6312,3794,16691.345703074396,-1772789.9424783103,1782573.7025752815,-44.84233209249076,-67.24227811821177
14,2022-04-02,-3644,4509,22482.399957460555,-1776433.9424783103,1787082.7025752815,-44.828785086396174,-67.18937587979767
15,2022-04-01,4333,-7803,28181.14858931187,-1772100.9424783103,1779279.7025752815,-44.88418248095935,-67.26815325065708
16,2022-03-31,12049,-7746,19256.228077805004,-1760051.9424783103,1771533.7025752815,-44.813722745754795,-67.3964579608548
17,2022-03-30,18447,-10957,9320.565355447181,-1741604.9424783103,1760576.7025752815,-44.68962456518169,-67.58688987366816
18,2022-03-29,27021,-10047,41004.50626824816,-1714583.9424783103,1750529.7025752815,-44.4056568748832,-67.82625980484393
19,2022-03-28,25060,-264,50335.22289711052,-1689523.9424783103,1750265.7025752815,-43.98834371346969,-67.98806692379992
